# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Full Version
# File: C:\Users\ATWN_Yhlee\Desktop\lcd-driver-CFAH1602BTMCJP\report\lcd-driver.csv
# Generated on: Wed Jul 03 16:34:22 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
,Unknown,PIN_P4,2,B2_N3,,,,,
,Unknown,PIN_P1,2,B2_N3,,,,,
,Unknown,PIN_P2,2,B2_N3,,,,,
,Unknown,PIN_P8,2,B2_N3,,,,,
,Unknown,PIN_P5,2,B2_N3,,,,,
,Unknown,PIN_R7,2,B2_N3,,,,,
,Unknown,PIN_R4,2,B2_N3,,,,,
,Unknown,PIN_R9,2,B2_N3,,,,,
,Unknown,PIN_R8,2,B2_N3,,,,,
,Unknown,PIN_R6,2,B2_N3,,,,,
,Unknown,PIN_R2,2,B2_N3,,,,,
,Unknown,PIN_R3,2,B2_N3,,,,,
,Unknown,PIN_R5,2,B2_N3,,,,,
,Unknown,PIN_T2,1,B1_N0,,,,,
,Unknown,PIN_T3,1,B1_N0,,,,,
,Unknown,PIN_T6,1,B1_N0,,,,,
,Unknown,PIN_T7,1,B1_N0,,,,,
,Unknown,PIN_T4,1,B1_N0,,,,,
,Unknown,PIN_T5,1,B1_N0,,,,,
,Unknown,PIN_U1,1,B1_N0,,,,,
,Unknown,PIN_U2,1,B1_N0,,,,,
,Unknown,PIN_U5,1,B1_N0,,,,,
,Unknown,PIN_T8,1,B1_N0,,,,,
,Unknown,PIN_U8,1,B1_N0,,,,,
,Unknown,PIN_U6,1,B1_N0,,,,,
,Unknown,PIN_U7,1,B1_N0,,,,,
,Unknown,PIN_U3,1,B1_N1,,,,,
,Unknown,PIN_U4,1,B1_N1,,,,,
,Unknown,PIN_V2,1,B1_N1,,,,,
,Unknown,PIN_V3,1,B1_N1,,,,,
,Unknown,PIN_W1,1,B1_N1,,,,,
,Unknown,PIN_W2,1,B1_N1,,,,,
,Unknown,PIN_V4,1,B1_N1,,,,,
,Unknown,PIN_W3,1,B1_N1,,,,,
,Unknown,PIN_W4,1,B1_N1,,,,,
,Unknown,PIN_Y1,1,B1_N1,,,,,
,Unknown,PIN_Y2,1,B1_N1,,,,,
,Unknown,PIN_Y3,1,B1_N1,,,,,
,Unknown,PIN_Y4,1,B1_N1,,,,,
,Unknown,PIN_V9,1,B1_N1,,,,,
,Unknown,PIN_V8,1,B1_N1,,,,,
,Unknown,PIN_V7,1,B1_N1,,,,,
,Unknown,PIN_AA1,1,B1_N1,,,,,
,Unknown,PIN_AA2,1,B1_N1,,,,,
,Unknown,PIN_AA3,1,B1_N1,,,,,
,Unknown,PIN_AA4,1,B1_N1,,,,,
,Unknown,PIN_AB1,1,B1_N1,,,,,
,Unknown,PIN_AB2,1,B1_N1,,,,,
,Unknown,PIN_W9,1,B1_N2,,,,,
,Unknown,PIN_W10,1,B1_N2,,,,,
,Unknown,PIN_W6,1,B1_N2,,,,,
,Unknown,PIN_W8,1,B1_N2,,,,,
,Unknown,PIN_W7,1,B1_N2,,,,,
,Unknown,PIN_Y5,1,B1_N2,,,,,
,Unknown,PIN_AC1,1,B1_N2,,,,,
,Unknown,PIN_AC2,1,B1_N2,,,,,
,Unknown,PIN_AC3,1,B1_N2,,,,,
,Unknown,PIN_AC4,1,B1_N2,,,,,
,Unknown,PIN_AD1,1,B1_N2,,,,,
,Unknown,PIN_AD2,1,B1_N2,,,,,
,Unknown,PIN_AD3,1,B1_N2,,,,,
,Unknown,PIN_AD4,1,B1_N2,,,,,
,Unknown,PIN_AA5,1,B1_N2,,,,,
,Unknown,PIN_AA6,1,B1_N2,,,,,
,Unknown,PIN_Y9,1,B1_N2,,,,,
,Unknown,PIN_Y10,1,B1_N2,,,,,
,Unknown,PIN_Y6,1,B1_N2,,,,,
,Unknown,PIN_Y7,1,B1_N2,,,,,
,Unknown,PIN_Y8,1,B1_N2,,,,,
,Unknown,PIN_AE1,1,B1_N2,,,,,
,Unknown,PIN_AE2,1,B1_N2,,,,,
,Unknown,PIN_AA7,1,B1_N2,,,,,
,Unknown,PIN_AB6,1,B1_N3,,,,,
,Unknown,PIN_AB5,1,B1_N3,,,,,
,Unknown,PIN_AC6,1,B1_N3,,,,,
,Unknown,PIN_AC5,1,B1_N3,,,,,
,Unknown,PIN_AF1,1,B1_N3,,,,,
,Unknown,PIN_AF2,1,B1_N3,,,,,
,Unknown,PIN_AG2,1,B1_N3,,,,,
,Unknown,PIN_AG3,1,B1_N3,,,,,
,Unknown,PIN_AH1,1,B1_N3,,,,,
,Unknown,PIN_AH2,1,B1_N3,,,,,
,Unknown,PIN_AD5,1,B1_N3,,,,,
,Unknown,PIN_AA8,1,B1_N3,,,,,
,Unknown,PIN_AE3,1,B1_N3,,,,,
,Unknown,PIN_AE4,1,B1_N3,,,,,
,Unknown,PIN_AF3,1,B1_N3,,,,,
,Unknown,PIN_AF4,1,B1_N3,,,,,
,Unknown,PIN_AA9,1,B1_N3,,,,,
,Unknown,PIN_AA10,1,B1_N3,,,,,
,Unknown,PIN_AB7,1,B1_N3,,,,,
,Unknown,PIN_AC7,1,B1_N3,,,,,
,Unknown,PIN_AD6,1,B1_N3,,,,,
,Unknown,PIN_AD7,1,B1_N3,,,,,
,Unknown,PIN_AB8,,,,,,,
,Unknown,PIN_AB9,,,,,,,
,Unknown,PIN_AC8,,,,,,,
,Unknown,PIN_AC9,,,,,,,
,Unknown,PIN_AC10,,,,,,,
,Unknown,PIN_AE8,8,B8_N3,,,,,
,Unknown,PIN_AE7,8,B8_N3,,,,,
,Unknown,PIN_AG4,8,B8_N3,,,,,
,Unknown,PIN_AG5,8,B8_N3,,,,,
,Unknown,PIN_AJ2,8,B8_N3,,,,,
,Unknown,PIN_AH3,8,B8_N3,,,,,
,Unknown,PIN_AK3,8,B8_N3,,,,,
,Unknown,PIN_AJ3,8,B8_N3,,,,,
,Unknown,PIN_AD8,8,B8_N3,,,,,
,Unknown,PIN_AH5,8,B8_N3,,,,,
,Unknown,PIN_AG6,8,B8_N3,,,,,
,Unknown,PIN_AF7,8,B8_N3,,,,,
,Unknown,PIN_AJ4,8,B8_N3,,,,,
,Unknown,PIN_AH4,8,B8_N3,,,,,
,Unknown,PIN_AK5,8,B8_N3,,,,,
,Unknown,PIN_AJ5,8,B8_N3,,,,,
,Unknown,PIN_AG8,8,B8_N2,,,,,
,Unknown,PIN_AF8,8,B8_N2,,,,,
,Unknown,PIN_AH7,8,B8_N2,,,,,
,Unknown,PIN_AG7,8,B8_N2,,,,,
,Unknown,PIN_AF9,8,B8_N2,,,,,
,Unknown,PIN_AK6,8,B8_N2,,,,,
,Unknown,PIN_AJ6,8,B8_N2,,,,,
,Unknown,PIN_AD9,8,B8_N2,,,,,
,Unknown,PIN_AC11,8,B8_N2,,,,,
,Unknown,PIN_AD10,8,B8_N2,,,,,
,Unknown,PIN_AK7,8,B8_N2,,,,,
,Unknown,PIN_AJ7,8,B8_N2,,,,,
,Unknown,PIN_AF10,8,B8_N2,,,,,
,Unknown,PIN_AC12,8,B8_N2,,,,,
,Unknown,PIN_AD11,8,B8_N2,,,,,
,Unknown,PIN_AF11,8,B8_N2,,,,,
,Unknown,PIN_AE11,8,B8_N2,,,,,
,Unknown,PIN_AK8,8,B8_N2,,,,,
,Unknown,PIN_AJ8,8,B8_N2,,,,,
,Unknown,PIN_AH9,8,B8_N1,,,,,
,Unknown,PIN_AG9,8,B8_N1,,,,,
,Unknown,PIN_AE12,8,B8_N1,,,,,
,Unknown,PIN_AD12,8,B8_N1,,,,,
,Unknown,PIN_AH10,8,B8_N1,,,,,
,Unknown,PIN_AG10,8,B8_N1,,,,,
,Unknown,PIN_AK9,8,B8_N1,,,,,
,Unknown,PIN_AJ9,8,B8_N1,,,,,
,Unknown,PIN_AK10,8,B8_N1,,,,,
,Unknown,PIN_AJ10,8,B8_N1,,,,,
,Unknown,PIN_AF12,8,B8_N1,,,,,
,Unknown,PIN_AB12,8,B8_N1,,,,,
,Unknown,PIN_AK11,8,B8_N1,,,,,
,Unknown,PIN_AJ11,8,B8_N1,,,,,
,Unknown,PIN_AE13,8,B8_N1,,,,,
,Unknown,PIN_AD13,8,B8_N1,,,,,
,Unknown,PIN_AC13,8,B8_N1,,,,,
,Unknown,PIN_AB13,8,B8_N0,,,,,
,Unknown,PIN_AH12,8,B8_N0,,,,,
,Unknown,PIN_AG12,8,B8_N0,,,,,
,Unknown,PIN_AK12,8,B8_N0,,,,,
,Unknown,PIN_AJ12,8,B8_N0,,,,,
,Unknown,PIN_AD14,8,B8_N0,,,,,
,Unknown,PIN_AG13,8,B8_N0,,,,,
,Unknown,PIN_AC14,8,B8_N0,,,,,
,Unknown,PIN_AG14,8,B8_N0,,,,,
,Unknown,PIN_AF14,8,B8_N0,,,,,
,Unknown,PIN_AF15,8,B8_N0,,,,,
,Unknown,PIN_AE15,8,B8_N0,,,,,
,Unknown,PIN_AJ13,8,B8_N0,,,,,
,Unknown,PIN_AH13,8,B8_N0,,,,,
,Unknown,PIN_AK14,8,B8_N0,,,,,
,Unknown,PIN_AJ14,8,B8_N0,,,,,
,Unknown,PIN_AJ15,8,B8_N0,,,,,
,Unknown,PIN_AH15,8,B8_N0,,,,,
,Unknown,PIN_AG15,8,B8_N0,,,,,
,Unknown,PIN_AH14,8,B8_N0,,,,,
,Unknown,PIN_AC15,7,B7_N3,,,,,
,Unknown,PIN_AJ16,7,B7_N3,,,,,
,Unknown,PIN_AH16,7,B7_N3,,,,,
,Unknown,PIN_AE16,7,B7_N3,,,,,
,Unknown,PIN_AD16,7,B7_N3,,,,,
,Unknown,PIN_AC16,7,B7_N3,,,,,
,Unknown,PIN_AG16,7,B7_N3,,,,,
,Unknown,PIN_AF16,7,B7_N3,,,,,
,Unknown,PIN_AH17,7,B7_N3,,,,,
,Unknown,PIN_AG17,7,B7_N3,,,,,
,Unknown,PIN_AE17,7,B7_N3,,,,,
,Unknown,PIN_AK17,7,B7_N3,,,,,
,Unknown,PIN_AJ17,7,B7_N3,,,,,
,Unknown,PIN_AD17,7,B7_N2,,,,,
,Unknown,PIN_AC17,7,B7_N2,,,,,
,Unknown,PIN_AJ18,7,B7_N2,,,,,
,Unknown,PIN_AH18,7,B7_N2,,,,,
,Unknown,PIN_AK19,7,B7_N2,,,,,
,Unknown,PIN_AJ19,7,B7_N2,,,,,
,Unknown,PIN_AF17,7,B7_N2,,,,,
,Unknown,PIN_AK20,7,B7_N2,,,,,
,Unknown,PIN_AJ20,7,B7_N2,,,,,
,Unknown,PIN_AH19,7,B7_N2,,,,,
,Unknown,PIN_AG19,7,B7_N2,,,,,
,Unknown,PIN_AF18,7,B7_N2,,,,,
,Unknown,PIN_AG18,7,B7_N2,,,,,
,Unknown,PIN_AD18,7,B7_N2,,,,,
,Unknown,PIN_AC18,7,B7_N2,,,,,
,Unknown,PIN_AK21,7,B7_N2,,,,,
,Unknown,PIN_AJ21,7,B7_N2,,,,,
,Unknown,PIN_AG20,7,B7_N2,,,,,
,Unknown,PIN_AF20,7,B7_N2,,,,,
,Unknown,PIN_AK22,7,B7_N2,,,,,
,Unknown,PIN_AJ22,7,B7_N2,,,,,
,Unknown,PIN_AB18,7,B7_N1,,,,,
,Unknown,PIN_AB19,7,B7_N1,,,,,
,Unknown,PIN_AD19,7,B7_N1,,,,,
,Unknown,PIN_AC19,7,B7_N1,,,,,
,Unknown,PIN_AH20,7,B7_N1,,,,,
,Unknown,PIN_AE19,7,B7_N1,,,,,
,Unknown,PIN_AK23,7,B7_N1,,,,,
,Unknown,PIN_AJ23,7,B7_N1,,,,,
,Unknown,PIN_AK24,7,B7_N1,,,,,
,Unknown,PIN_AJ24,7,B7_N1,,,,,
,Unknown,PIN_AF21,7,B7_N1,,,,,
,Unknown,PIN_AE20,7,B7_N1,,,,,
,Unknown,PIN_AH22,7,B7_N1,,,,,
,Unknown,PIN_AG22,7,B7_N1,,,,,
,Unknown,PIN_AC20,7,B7_N1,,,,,
,Unknown,PIN_AD20,7,B7_N1,,,,,
,Unknown,PIN_AK25,7,B7_N0,,,,,
,Unknown,PIN_AJ25,7,B7_N0,,,,,
,Unknown,PIN_AG23,7,B7_N0,,,,,
,Unknown,PIN_AF22,7,B7_N0,,,,,
,Unknown,PIN_AK26,7,B7_N0,,,,,
,Unknown,PIN_AJ26,7,B7_N0,,,,,
,Unknown,PIN_AD22,7,B7_N0,,,,,
,Unknown,PIN_AH24,7,B7_N0,,,,,
,Unknown,PIN_AG24,7,B7_N0,,,,,
,Unknown,PIN_AG25,7,B7_N0,,,,,
,Unknown,PIN_AH26,7,B7_N0,,,,,
,Unknown,PIN_AD21,7,B7_N0,,,,,
,Unknown,PIN_AC21,7,B7_N0,,,,,
,Unknown,PIN_AK28,7,B7_N0,,,,,
,Unknown,PIN_AJ28,7,B7_N0,,,,,
,Unknown,PIN_AF23,7,B7_N0,,,,,
,Unknown,PIN_AF24,7,B7_N0,,,,,
,Unknown,PIN_AJ27,7,B7_N0,,,,,
,Unknown,PIN_AH27,7,B7_N0,,,,,
,Unknown,PIN_AG27,7,B7_N0,,,,,
,Unknown,PIN_AG26,7,B7_N0,,,,,
,Unknown,PIN_AE23,7,B7_N0,,,,,
,Unknown,PIN_AE24,7,B7_N0,,,,,
,Unknown,PIN_AD23,,,,,,,
,Unknown,PIN_AC22,,,,,,,
,Unknown,PIN_AA21,,,,,,,
,Unknown,PIN_AB22,,,,,,,
,Unknown,PIN_AA22,,,,,,,
,Unknown,PIN_AB23,6,B6_N3,,,,,
,Unknown,PIN_AD25,6,B6_N3,,,,,
,Unknown,PIN_AB24,6,B6_N3,,,,,
,Unknown,PIN_AF27,6,B6_N3,,,,,
,Unknown,PIN_AF28,6,B6_N3,,,,,
,Unknown,PIN_AD26,6,B6_N3,,,,,
,Unknown,PIN_AD27,6,B6_N3,,,,,
,Unknown,PIN_AC25,6,B6_N3,,,,,
,Unknown,PIN_AG29,6,B6_N3,,,,,
,Unknown,PIN_AG28,6,B6_N3,,,,,
,Unknown,PIN_AH29,6,B6_N2,,,,,
,Unknown,PIN_AH28,6,B6_N2,,,,,
,Unknown,PIN_AH30,6,B6_N2,,,,,
,Unknown,PIN_AJ29,6,B6_N2,,,,,
,Unknown,PIN_AE27,6,B6_N2,,,,,
,Unknown,PIN_AE28,6,B6_N2,,,,,
,Unknown,PIN_AD28,6,B6_N2,,,,,
,Unknown,PIN_AA24,6,B6_N2,,,,,
,Unknown,PIN_AF29,6,B6_N2,,,,,
